date,store_id,product_id,product_name,category,stock_on_hand,units_sold,sold_out_flag,price,promotion_flag
2025-03-16,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,89,78,0,30,0
2025-03-23,US_Store_NYC,P101,Stanley Quencher,Drinkware,142,52,0,45,0
2025-03-23,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,141,45,0,35,0
2025-03-23,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,118,46,0,30,0
2025-03-30,US_Store_NYC,P101,Stanley Quencher,Drinkware,99,62,0,45,0
2025-03-30,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,144,65,0,35,0
2025-03-30,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,149,79,0,30,0
2025-04-06,US_Store_NYC,P101,Stanley Quencher,Drinkware,132,77,0,45,0
2025-04-06,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,120,57,0,35,0
2025-04-06,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,145,50,0,30,0
2025-04-13,US_Store_NYC,P101,Stanley Quencher,Drinkware,144,52,0,45,0
2025-04-13,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,116,61,0,35,0
2025-04-13,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,99,56,0,30,0
2025-04-20,US_Store_NYC,P101,Stanley Quencher,Drinkware,137,46,0,45,0
2025-04-20,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,140,60,0,35,0
2025-04-20,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,125,78,0,30,0
2025-04-27,US_Store_NYC,P101,Stanley Quencher,Drinkware,116,51,0,45,0
2025-04-27,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,80,49,0,35,0
2025-04-27,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,83,75,0,30,0
2025-05-04,US_Store_NYC,P101,Stanley Quencher,Drinkware,135,71,0,45,0
2025-05-04,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,110,56,0,35,0
2025-05-04,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,111,71,0,30,0
2025-05-11,US_Store_NYC,P101,Stanley Quencher,Drinkware,89,69,0,45,0
2025-05-11,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,136,45,0,35,0
2025-05-11,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,83,52,0,30,0
2025-05-18,US_Store_NYC,P101,Stanley Quencher,Drinkware,87,59,0,45,0
2025-05-18,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,117,71,0,35,0
2025-05-18,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,114,47,0,30,0
2025-05-25,US_Store_NYC,P101,Stanley Quencher,Drinkware,83,75,0,45,0
2025-05-25,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,96,74,0,35,0
2025-05-25,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,88,44,0,30,0
2025-06-01,US_Store_NYC,P101,Stanley Quencher,Drinkware,134,91,0,45,1
2025-06-01,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,141,72,0,35,1
2025-06-01,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,131,73,0,30,1
2025-06-08,US_Store_NYC,P101,Stanley Quencher,Drinkware,105,75,0,45,0
2025-06-08,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,125,65,0,35,0
2025-06-08,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,101,54,0,30,0
2025-06-15,US_Store_NYC,P101,Stanley Quencher,Drinkware,133,42,0,45,0
2025-06-15,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,80,71,0,35,0
2025-06-15,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,148,45,0,30,0
2025-06-22,US_Store_NYC,P101,Stanley Quencher,Drinkware,118,50,0,45,0
2025-06-22,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,134,41,0,35,0
2025-06-22,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,86,43,0,30,0
2025-06-29,US_Store_NYC,P101,Stanley Quencher,Drinkware,143,70,0,45,0
2025-06-29,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,128,47,0,35,0
2025-06-29,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,132,60,0,30,0
2025-07-06,US_Store_NYC,P101,Stanley Quencher,Drinkware,90,90,1,45,1
2025-07-06,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,91,79,0,35,1
2025-07-06,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,113,113,1,30,1
2025-07-13,US_Store_NYC,P101,Stanley Quencher,Drinkware,111,51,0,45,0
2025-07-13,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,130,44,0,35,0
2025-07-13,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,84,75,0,30,0
2025-07-20,US_Store_NYC,P101,Stanley Quencher,Drinkware,99,76,0,45,0
2025-07-20,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,115,75,0,35,0
2025-07-20,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,141,79,0,30,0
2025-07-27,US_Store_NYC,P101,Stanley Quencher,Drinkware,141,68,0,45,0
2025-07-27,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,142,52,0,35,0
2025-07-27,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,144,49,0,30,0
2025-08-03,US_Store_NYC,P101,Stanley Quencher,Drinkware,84,53,0,45,0
2025-08-03,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,83,73,0,35,0
2025-08-03,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,135,63,0,30,0
2025-08-10,US_Store_NYC,P101,Stanley Quencher,Drinkware,123,66,0,45,0
2025-08-10,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,91,52,0,35,0
2025-08-10,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,105,72,0,30,0
2025-08-17,US_Store_NYC,P101,Stanley Quencher,Drinkware,99,46,0,45,0
2025-08-17,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,102,53,0,35,0
2025-08-17,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,141,50,0,30,0
2025-08-24,US_Store_NYC,P101,Stanley Quencher,Drinkware,140,73,0,45,0
2025-08-24,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,142,67,0,35,0
2025-08-24,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,131,70,0,30,0
2025-08-31,US_Store_NYC,P101,Stanley Quencher,Drinkware,121,44,0,45,0
2025-08-31,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,136,59,0,35,0
2025-08-31,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,84,62,0,30,0
2025-09-07,US_Store_NYC,P101,Stanley Quencher,Drinkware,109,48,0,45,0
2025-09-07,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,138,74,0,35,0
2025-09-07,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,90,46,0,30,0
2025-09-14,US_Store_NYC,P101,Stanley Quencher,Drinkware,149,72,0,45,1
2025-09-14,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,100,55,0,35,1
2025-09-14,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,139,80,0,30,1
2025-09-21,US_Store_NYC,P101,Stanley Quencher,Drinkware,123,57,0,45,0
2025-09-21,US_Store_NYC,P102,Stanley Travel Mug,Drinkware,112,53,0,35,0
2025-09-21,US_Store_NYC,P103,Stanley Water Bottle,Drinkware,91,77,0,30,0
2025-01-05,US_Store_LA,P101,Stanley Quencher,Drinkware,78,31,0,45,1
2025-01-05,US_Store_LA,P102,Stanley Travel Mug,Drinkware,95,39,0,35,1
2025-01-05,US_Store_LA,P103,Stanley Water Bottle,Drinkware,88,45,0,30,1
2025-01-12,US_Store_LA,P101,Stanley Quencher,Drinkware,108,29,0,45,0
2025-01-12,US_Store_LA,P102,Stanley Travel Mug,Drinkware,88,33,0,35,0
2025-01-12,US_Store_LA,P103,Stanley Water Bottle,Drinkware,113,27,0,30,0
2025-01-19,US_Store_LA,P101,Stanley Quencher,Drinkware,94,27,0,45,0
2025-01-19,US_Store_LA,P102,Stanley Travel Mug,Drinkware,67,21,0,35,0
2025-01-19,US_Store_LA,P103,Stanley Water Bottle,Drinkware,114,29,0,30,0
2025-01-26,US_Store_LA,P101,Stanley Quencher,Drinkware,63,25,0,45,0
2025-01-26,US_Store_LA,P102,Stanley Travel Mug,Drinkware,71,26,0,35,0
2025-01-26,US_Store_LA,P103,Stanley Water Bottle,Drinkware,81,32,0,30,0
2025-02-02,US_Store_LA,P101,Stanley Quencher,Drinkware,92,39,0,45,0
2025-02-02,US_Store_LA,P102,Stanley Travel Mug,Drinkware,65,39,0,35,0
2025-02-02,US_Store_LA,P103,Stanley Water Bottle,Drinkware,118,28,0,30,0
2025-02-09,US_Store_LA,P101,Stanley Quencher,Drinkware,105,34,0,45,0
2025-02-09,US_Store_LA,P102,Stanley Travel Mug,Drinkware,91,29,0,35,0
2025-02-09,US_Store_LA,P103,Stanley Water Bottle,Drinkware,88,21,0,30,0
2025-02-16,US_Store_LA,P101,Stanley Quencher,Drinkware,73,31,0,45,0
2025-02-16,US_Store_LA,P102,Stanley Travel Mug,Drinkware,97,33,0,35,0
2025-02-16,US_Store_LA,P103,Stanley Water Bottle,Drinkware,115,34,0,30,0
2025-02-23,US_Store_LA,P101,Stanley Quencher,Drinkware,64,35,0,45,0
2025-02-23,US_Store_LA,P102,Stanley Travel Mug,Drinkware,62,26,0,35,0
2025-02-23,US_Store_LA,P103,Stanley Water Bottle,Drinkware,65,39,0,30,0
2025-03-02,US_Store_LA,P101,Stanley Quencher,Drinkware,76,20,0,45,0
2025-03-02,US_Store_LA,P102,Stanley Travel Mug,Drinkware,97,31,0,35,0
2025-03-02,US_Store_LA,P103,Stanley Water Bottle,Drinkware,101,38,0,30,0
2025-03-09,US_Store_LA,P101,Stanley Quencher,Drinkware,112,34,0,45,0
2025-03-09,US_Store_LA,P102,Stanley Travel Mug,Drinkware,117,24,0,35,0
2025-03-09,US_Store_LA,P103,Stanley Water Bottle,Drinkware,77,22,0,30,0
2025-03-16,US_Store_LA,P101,Stanley Quencher,Drinkware,65,20,0,45,0
2025-03-16,US_Store_LA,P102,Stanley Travel Mug,Drinkware,74,21,0,35,0
2025-03-16,US_Store_LA,P103,Stanley Water Bottle,Drinkware,114,26,0,30,0
2025-03-23,US_Store_LA,P101,Stanley Quencher,Drinkware,89,26,0,45,0
2025-03-23,US_Store_LA,P102,Stanley Travel Mug,Drinkware,74,27,0,35,0
2025-03-23,US_Store_LA,P103,Stanley Water Bottle,Drinkware,102,36,0,30,0
2025-03-30,US_Store_LA,P101,Stanley Quencher,Drinkware,111,37,0,45,0
2025-03-30,US_Store_LA,P102,Stanley Travel Mug,Drinkware,83,22,0,35,0
2025-03-30,US_Store_LA,P103,Stanley Water Bottle,Drinkware,90,30,0,30,0
2025-04-06,US_Store_LA,P101,Stanley Quencher,Drinkware,84,25,0,45,0
2025-04-06,US_Store_LA,P102,Stanley Travel Mug,Drinkware,104,34,0,35,0
2025-04-06,US_Store_LA,P103,Stanley Water Bottle,Drinkware,96,38,0,30,0
2025-04-13,US_Store_LA,P101,Stanley Quencher,Drinkware,93,21,0,45,0
2025-04-13,US_Store_LA,P102,Stanley Travel Mug,Drinkware,78,27,0,35,0
2025-04-13,US_Store_LA,P103,Stanley Water Bottle,Drinkware,75,22,0,30,0
2025-04-20,US_Store_LA,P101,Stanley Quencher,Drinkware,103,29,0,45,0
2025-04-20,US_Store_LA,P102,Stanley Travel Mug,Drinkware,115,35,0,35,0
2025-04-20,US_Store_LA,P103,Stanley Water Bottle,Drinkware,92,36,0,30,0
2025-04-27,US_Store_LA,P101,Stanley Quencher,Drinkware,94,30,0,45,0
2025-04-27,US_Store_LA,P102,Stanley Travel Mug,Drinkware,64,30,0,35,0
2025-04-27,US_Store_LA,P103,Stanley Water Bottle,Drinkware,65,34,0,30,0
2025-05-04,US_Store_LA,P101,Stanley Quencher,Drinkware,61,29,0,45,0
2025-05-04,US_Store_LA,P102,Stanley Travel Mug,Drinkware,115,21,0,35,0
2025-05-04,US_Store_LA,P103,Stanley Water Bottle,Drinkware,79,26,0,30,0
2025-05-11,US_Store_LA,P101,Stanley Quencher,Drinkware,60,28,0,45,0
2025-05-11,US_Store_LA,P102,Stanley Travel Mug,Drinkware,95,30,0,35,0
2025-05-11,US_Store_LA,P103,Stanley Water Bottle,Drinkware,83,25,0,30,0
2025-05-18,US_Store_LA,P101,Stanley Quencher,Drinkware,100,39,0,45,0
2025-05-18,US_Store_LA,P102,Stanley Travel Mug,Drinkware,91,23,0,35,0
2025-05-18,US_Store_LA,P103,Stanley Water Bottle,Drinkware,83,21,0,30,0
2025-05-25,US_Store_LA,P101,Stanley Quencher,Drinkware,64,22,0,45,0
2025-05-25,US_Store_LA,P102,Stanley Travel Mug,Drinkware,89,26,0,35,0
2025-05-25,US_Store_LA,P103,Stanley Water Bottle,Drinkware,61,32,0,30,0
2025-06-01,US_Store_LA,P101,Stanley Quencher,Drinkware,118,35,0,45,0
2025-06-01,US_Store_LA,P102,Stanley Travel Mug,Drinkware,100,23,0,35,0
2025-06-01,US_Store_LA,P103,Stanley Water Bottle,Drinkware,114,36,0,30,0
2025-06-08,US_Store_LA,P101,Stanley Quencher,Drinkware,94,21,0,45,0
2025-06-08,US_Store_LA,P102,Stanley Travel Mug,Drinkware,91,30,0,35,0
2025-06-08,US_Store_LA,P103,Stanley Water Bottle,Drinkware,67,24,0,30,0
2025-06-15,US_Store_LA,P101,Stanley Quencher,Drinkware,113,29,0,45,0
2025-06-15,US_Store_LA,P102,Stanley Travel Mug,Drinkware,84,24,0,35,0
2025-06-15,US_Store_LA,P103,Stanley Water Bottle,Drinkware,118,28,0,30,0
2025-06-22,US_Store_LA,P101,Stanley Quencher,Drinkware,85,25,0,45,0
2025-06-22,US_Store_LA,P102,Stanley Travel Mug,Drinkware,87,20,0,35,0
2025-06-22,US_Store_LA,P103,Stanley Water Bottle,Drinkware,73,25,0,30,0
2025-06-29,US_Store_LA,P101,Stanley Quencher,Drinkware,109,38,0,45,0
2025-06-29,US_Store_LA,P102,Stanley Travel Mug,Drinkware,107,32,0,35,0
2025-06-29,US_Store_LA,P103,Stanley Water Bottle,Drinkware,83,26,0,30,0
2025-07-06,US_Store_LA,P101,Stanley Quencher,Drinkware,111,58,0,45,1
2025-07-06,US_Store_LA,P102,Stanley Travel Mug,Drinkware,79,52,0,35,1
2025-07-06,US_Store_LA,P103,Stanley Water Bottle,Drinkware,98,57,0,30,1
2025-07-13,US_Store_LA,P101,Stanley Quencher,Drinkware,105,34,0,45,0
2025-07-13,US_Store_LA,P102,Stanley Travel Mug,Drinkware,68,27,0,35,0
2025-07-13,US_Store_LA,P103,Stanley Water Bottle,Drinkware,82,37,0,30,0
2025-07-20,US_Store_LA,P101,Stanley Quencher,Drinkware,112,24,0,45,0
2025-07-20,US_Store_LA,P102,Stanley Travel Mug,Drinkware,104,21,0,35,0
2025-07-20,US_Store_LA,P103,Stanley Water Bottle,Drinkware,62,21,0,30,0
2025-07-27,US_Store_LA,P101,Stanley Quencher,Drinkware,118,31,0,45,0
2025-07-27,US_Store_LA,P102,Stanley Travel Mug,Drinkware,60,25,0,35,0
2025-07-27,US_Store_LA,P103,Stanley Water Bottle,Drinkware,108,35,0,30,0
2025-08-03,US_Store_LA,P101,Stanley Quencher,Drinkware,75,23,0,45,0
2025-08-03,US_Store_LA,P102,Stanley Travel Mug,Drinkware,74,23,0,35,0
2025-08-03,US_Store_LA,P103,Stanley Water Bottle,Drinkware,82,34,0,30,0
2025-08-10,US_Store_LA,P101,Stanley Quencher,Drinkware,92,34,0,45,0
2025-08-10,US_Store_LA,P102,Stanley Travel Mug,Drinkware,89,25,0,35,0
2025-08-10,US_Store_LA,P103,Stanley Water Bottle,Drinkware,61,38,0,30,0
2025-08-17,US_Store_LA,P101,Stanley Quencher,Drinkware,89,33,0,45,0
2025-08-17,US_Store_LA,P102,Stanley Travel Mug,Drinkware,96,20,0,35,0
2025-08-17,US_Store_LA,P103,Stanley Water Bottle,Drinkware,84,21,0,30,0
2025-08-24,US_Store_LA,P101,Stanley Quencher,Drinkware,72,37,0,45,0
2025-08-24,US_Store_LA,P102,Stanley Travel Mug,Drinkware,76,37,0,35,0
2025-08-24,US_Store_LA,P103,Stanley Water Bottle,Drinkware,118,24,0,30,0
2025-08-31,US_Store_LA,P101,Stanley Quencher,Drinkware,114,24,0,45,0
2025-08-31,US_Store_LA,P102,Stanley Travel Mug,Drinkware,64,21,0,35,0
2025-08-31,US_Store_LA,P103,Stanley Water Bottle,Drinkware,100,39,0,30,0
2025-09-07,US_Store_LA,P101,Stanley Quencher,Drinkware,75,26,0,45,0
2025-09-07,US_Store_LA,P102,Stanley Travel Mug,Drinkware,72,28,0,35,0
2025-09-07,US_Store_LA,P103,Stanley Water Bottle,Drinkware,74,28,0,30,0
2025-09-14,US_Store_LA,P101,Stanley Quencher,Drinkware,100,25,0,45,0
2025-09-14,US_Store_LA,P102,Stanley Travel Mug,Drinkware,74,23,0,35,0
2025-09-14,US_Store_LA,P103,Stanley Water Bottle,Drinkware,110,28,0,30,0
2025-09-21,US_Store_LA,P101,Stanley Quencher,Drinkware,109,22,0,45,0
2025-09-21,US_Store_LA,P102,Stanley Travel Mug,Drinkware,113,22,0,35,0
2025-09-21,US_Store_LA,P103,Stanley Water Bottle,Drinkware,67,36,0,30,0
2025-01-05,US_Store_TX,P101,Stanley Quencher,Drinkware,75,16,0,45,1
2025-01-05,US_Store_TX,P102,Stanley Travel Mug,Drinkware,77,15,0,35,1
2025-01-05,US_Store_TX,P103,Stanley Water Bottle,Drinkware,67,21,0,30,1
2025-01-12,US_Store_TX,P101,Stanley Quencher,Drinkware,68,12,0,45,0
2025-01-12,US_Store_TX,P102,Stanley Travel Mug,Drinkware,76,6,0,35,0
2025-01-12,US_Store_TX,P103,Stanley Water Bottle,Drinkware,52,11,0,30,0
2025-01-19,US_Store_TX,P101,Stanley Quencher,Drinkware,52,10,0,45,0
2025-01-19,US_Store_TX,P102,Stanley Travel Mug,Drinkware,94,6,0,35,0
2025-01-19,US_Store_TX,P103,Stanley Water Bottle,Drinkware,84,6,0,30,0
2025-01-26,US_Store_TX,P101,Stanley Quencher,Drinkware,80,8,0,45,0
2025-01-26,US_Store_TX,P102,Stanley Travel Mug,Drinkware,58,12,0,35,0
2025-01-26,US_Store_TX,P103,Stanley Water Bottle,Drinkware,56,7,0,30,0
2025-02-02,US_Store_TX,P101,Stanley Quencher,Drinkware,67,14,0,45,0
2025-02-02,US_Store_TX,P102,Stanley Travel Mug,Drinkware,92,12,0,35,0
2025-02-02,US_Store_TX,P103,Stanley Water Bottle,Drinkware,70,11,0,30,0
2025-02-09,US_Store_TX,P101,Stanley Quencher,Drinkware,89,7,0,45,0
2025-02-09,US_Store_TX,P102,Stanley Travel Mug,Drinkware,64,5,0,35,0
2025-02-09,US_Store_TX,P103,Stanley Water Bottle,Drinkware,59,9,0,30,0
2025-02-16,US_Store_TX,P101,Stanley Quencher,Drinkware,94,10,0,45,0
2025-02-16,US_Store_TX,P102,Stanley Travel Mug,Drinkware,92,9,0,35,0
2025-02-16,US_Store_TX,P103,Stanley Water Bottle,Drinkware,70,7,0,30,0
2025-02-23,US_Store_TX,P101,Stanley Quencher,Drinkware,72,9,0,45,0
2025-02-23,US_Store_TX,P102,Stanley Travel Mug,Drinkware,99,11,0,35,0
2025-02-23,US_Store_TX,P103,Stanley Water Bottle,Drinkware,51,9,0,30,0
2025-03-02,US_Store_TX,P101,Stanley Quencher,Drinkware,87,12,0,45,0
2025-03-02,US_Store_TX,P102,Stanley Travel Mug,Drinkware,59,13,0,35,0
2025-03-02,US_Store_TX,P103,Stanley Water Bottle,Drinkware,63,10,0,30,0
2025-03-09,US_Store_TX,P101,Stanley Quencher,Drinkware,97,9,0,45,1
2025-03-09,US_Store_TX,P102,Stanley Travel Mug,Drinkware,52,15,0,35,1
2025-03-09,US_Store_TX,P103,Stanley Water Bottle,Drinkware,51,12,0,30,1
2025-03-16,US_Store_TX,P101,Stanley Quencher,Drinkware,80,6,0,45,1
2025-03-16,US_Store_TX,P102,Stanley Travel Mug,Drinkware,60,12,0,35,1
2025-03-16,US_Store_TX,P103,Stanley Water Bottle,Drinkware,80,9,0,30,1
2025-03-23,US_Store_TX,P101,Stanley Quencher,Drinkware,86,6,0,45,0
2025-03-23,US_Store_TX,P102,Stanley Travel Mug,Drinkware,70,7,0,35,0
2025-03-23,US_Store_TX,P103,Stanley Water Bottle,Drinkware,50,14,0,30,0
2025-03-30,US_Store_TX,P101,Stanley Quencher,Drinkware,89,6,0,45,0
2025-03-30,US_Store_TX,P102,Stanley Travel Mug,Drinkware,84,7,0,35,0
2025-03-30,US_Store_TX,P103,Stanley Water Bottle,Drinkware,74,12,0,30,0
2025-04-06,US_Store_TX,P101,Stanley Quencher,Drinkware,97,10,0,45,0
2025-04-06,US_Store_TX,P102,Stanley Travel Mug,Drinkware,75,7,0,35,0
2025-04-06,US_Store_TX,P103,Stanley Water Bottle,Drinkware,97,11,0,30,0
2025-04-13,US_Store_TX,P101,Stanley Quencher,Drinkware,64,13,0,45,0
2025-04-13,US_Store_TX,P102,Stanley Travel Mug,Drinkware,65,10,0,35,0
2025-04-13,US_Store_TX,P103,Stanley Water Bottle,Drinkware,69,7,0,30,0
2025-04-20,US_Store_TX,P101,Stanley Quencher,Drinkware,69,9,0,45,0
2025-04-20,US_Store_TX,P102,Stanley Travel Mug,Drinkware,65,11,0,35,0
2025-04-20,US_Store_TX,P103,Stanley Water Bottle,Drinkware,58,12,0,30,0
2025-04-27,US_Store_TX,P101,Stanley Quencher,Drinkware,62,12,0,45,0
2025-04-27,US_Store_TX,P102,Stanley Travel Mug,Drinkware,76,14,0,35,0
2025-04-27,US_Store_TX,P103,Stanley Water Bottle,Drinkware,68,5,0,30,0
2025-05-04,US_Store_TX,P101,Stanley Quencher,Drinkware,51,14,0,45,0
2025-05-04,US_Store_TX,P102,Stanley Travel Mug,Drinkware,82,11,0,35,0
2025-05-04,US_Store_TX,P103,Stanley Water Bottle,Drinkware,77,12,0,30,0
2025-05-11,US_Store_TX,P101,Stanley Quencher,Drinkware,65,8,0,45,0
2025-05-11,US_Store_TX,P102,Stanley Travel Mug,Drinkware,56,8,0,35,0
2025-05-11,US_Store_TX,P103,Stanley Water Bottle,Drinkware,52,8,0,30,0
2025-05-18,US_Store_TX,P101,Stanley Quencher,Drinkware,89,5,0,45,0
2025-05-18,US_Store_TX,P102,Stanley Travel Mug,Drinkware,84,14,0,35,0
2025-05-18,US_Store_TX,P103,Stanley Water Bottle,Drinkware,59,11,0,30,0
2025-05-25,US_Store_TX,P101,Stanley Quencher,Drinkware,55,7,0,45,0
2025-05-25,US_Store_TX,P102,Stanley Travel Mug,Drinkware,70,14,0,35,0
2025-05-25,US_Store_TX,P103,Stanley Water Bottle,Drinkware,88,9,0,30,0
2025-06-01,US_Store_TX,P101,Stanley Quencher,Drinkware,92,5,0,45,0
2025-06-01,US_Store_TX,P102,Stanley Travel Mug,Drinkware,53,6,0,35,0
2025-06-01,US_Store_TX,P103,Stanley Water Bottle,Drinkware,72,14,0,30,0
2025-06-08,US_Store_TX,P101,Stanley Quencher,Drinkware,65,9,0,45,0
2025-06-08,US_Store_TX,P102,Stanley Travel Mug,Drinkware,62,6,0,35,0
2025-06-08,US_Store_TX,P103,Stanley Water Bottle,Drinkware,72,5,0,30,0
2025-06-15,US_Store_TX,P101,Stanley Quencher,Drinkware,71,14,0,45,0
2025-06-15,US_Store_TX,P102,Stanley Travel Mug,Drinkware,57,7,0,35,0
2025-06-15,US_Store_TX,P103,Stanley Water Bottle,Drinkware,55,14,0,30,0
2025-06-22,US_Store_TX,P101,Stanley Quencher,Drinkware,79,11,0,45,0
2025-06-22,US_Store_TX,P102,Stanley Travel Mug,Drinkware,69,9,0,35,0
2025-06-22,US_Store_TX,P103,Stanley Water Bottle,Drinkware,99,13,0,30,0
2025-06-29,US_Store_TX,P101,Stanley Quencher,Drinkware,51,14,0,45,0
2025-06-29,US_Store_TX,P102,Stanley Travel Mug,Drinkware,82,8,0,35,0
2025-06-29,US_Store_TX,P103,Stanley Water Bottle,Drinkware,58,10,0,30,0
2025-07-06,US_Store_TX,P101,Stanley Quencher,Drinkware,80,10,0,45,1
2025-07-06,US_Store_TX,P102,Stanley Travel Mug,Drinkware,54,7,0,35,1
2025-07-06,US_Store_TX,P103,Stanley Water Bottle,Drinkware,54,13,0,30,1
2025-07-13,US_Store_TX,P101,Stanley Quencher,Drinkware,69,8,0,45,0
2025-07-13,US_Store_TX,P102,Stanley Travel Mug,Drinkware,71,14,0,35,0
